Image,Memory_Bytes
-4.003511728743482,334424
4.375488362189831,334261
1.7653735013315863,334382
2.054601597461911,334485
-4.533597920916972,334471
7.952903217742357,334235
2.599037125120826,334423
6.370009684066872,334325
2.9632063713153087,334425
2.989927905315298,334380
-0.1556852031317888,334426
-1.1093646705252755,334249
4.27327561070744,334464
-0.4967310794283817,334506
6.192825557685652,334422
2.071290585099698,334480
2.3533823752497387,334400
3.396877260033097,334419
-2.104076057505811,334422
-5.130914945807249,334142
-6.959411752560236,334475
-3.768964893291999,334397
-5.456932105165929,334363
-7.343896933568848,334397
-5.749209406727766,334465
-5.841548919292048,334350
-6.722812360140706,334281
-5.876971599453569,334371
-6.19627245131773,334318
-5.466825033278679,334389
-6.249632437427866,334201
-6.27838318792943,334459
-5.712929389468777,333943
-6.134738866205488,334164
-6.403145700293621,334454
-6.9561530987312885,334385
1.8788225830300007,334282
1.8660561472826127,334373
-0.5429184013476513,334426
2.2032499659773936,334294
4.414968604755865,334477
1.0914803989152304,334492
1.341031687374425,334198
6.120139560660753,333329
6.2054892726963935,334298
2.1424455727313827,334145
4.255842014455109,334335
5.307361729369646,334456
5.440073243029698,334387
1.3887409310442642,334398
1.2131314245391422,334482
5.926977727141246,334141
3.356720432701396,334406
5.942475212772671,334364
3.3091614273691405,334099
0.4360471919722943,334323
2.562973617518775,333920
3.2211693353334194,334430
5.679083849810409,334211
0.5712771465241957,334435
0.1783908742655349,334303
0.6762839258969695,334489
1.58670109591392,334223
0.1140558003841274,334449
1.197978620418816,334522
2.350996193712355,334488
1.333285368863164,334429
0.7784899520475896,334077
6.823956301580793,333757
2.313811716475124,334137
2.9898956080140024,334524
3.0631701684639694,334324
2.10472315095652,334198
2.476571458415192,334203
6.240738053951539,333402
1.8679629359444228,334482
1.873200716482275,334361
0.0232916095381661,334394
5.061179292678677,334352
2.182375616817996,334458
5.346597110627698,334107
3.49918578604205,333916
2.5285696012207843,334341
4.917876741160002,334463
-1.7023180888409213,334207
6.780068942218982,334248
-1.3220440490725496,333877
7.380883512603869,334399
6.306496328820685,334324
3.286594597737306,333577
0.0555661834255314,334068
-0.8029174472814473,334439
-0.186550792447445,334276
3.1318105064743715,334368
-7.095625965801313,334403
-6.212242634332311,334313
5.479135448213627,334259
1.288585466881873,334259
-5.679815265587327,334097
4.22972185156712,334412
3.0393606230249404,334264
1.7630155871545767,334143
-0.5713447654454864,334074
0.407765014034311,334504
5.218086440361191,334410
4.766764216324383,334117
-1.2791994031975182,334222
3.786014404805933,334370
0.7036953333081382,334152
-0.0442456492918097,334389
4.183869642258166,334282
7.132241147831456,334252
4.400245398839125,334356
-4.884140123688917,334192
0.9870838531896968,334561
5.382946168059132,334191
4.358559611336162,334375
0.9888475354522636,334434
2.177593387303295,334153
3.31161505254434,334119
0.8750028235354605,334338
5.781551091768314,334183
4.620832821463264,334166
-1.2687748787843578,334536
3.885456359164511,334397
-3.524177342760677,334336
-1.2575921724634584,334416
3.254845912471044,334086
9.189554767746824,334353
4.732271090641598,334455
4.573252126124295,334163
3.100160000660022,334299
2.2281475661958545,334348
0.3612355001028788,334133
-7.054203790912428,334488
6.336806666561934,334479
3.16221746772883,334448
5.920626331581694,334054
-0.4325989566509616,334385
4.530060144270241,334404
4.996714823435331,334358
3.861441347164323,334286
3.5443974739552786,334430
2.711444524473197,334462
4.317600962536641,334480
0.9991067532072364,334412
-5.9083928338451965,334382
-3.4095351539821905,334445
-6.275766325137834,334380
-4.961407448032908,334368
-5.448454806540245,334230
-5.073975703300414,334391
3.366943838949624,334424
0.1403620165089698,334519
4.52944357609999,334447
0.4196823017115196,334352
-4.387713140613761,334444
-3.0942715543939228,333316
-5.829385886104554,334355
-6.449813668642114,334422
2.057463448011319,334201
5.248419938777815,333963
-0.5906096055033361,334309
0.9770663119968646,334509
-2.683506386518664,334393
-1.7471906131707975,334157
0.4763137729161499,334112
6.243951795692393,334408
5.7864772802409625,334432
2.8048841501119384,334224
-0.4723695362534368,334442
3.702997117301205,334292
-4.822932924674371,334459
-7.899594232368486,334113
1.070978111477082,334128
1.0039900623000264,334447
2.3986148265168907,334419
3.964582770284817,334318
2.3489296084098186,334408
1.524658595720206,334417
-5.839766377817794,334331
0.2698991088644007,334445
0.757834019793739,334364
-3.314450328669958,334323
-3.972501154098129,334495
6.531096457757297,334179
-2.4571609099623144,334155
-2.665710021024455,334453
4.944527995574566,334373
-2.309660980726408,334374
5.293413507231342,334406
3.555982184157136,334242
2.9960758266465355,334425
0.7932847245212749,334364
4.806402263698114,334414
5.370994449019065,334392
3.1458714943705086,334063
5.528713773200963,334184
2.841859833749787,334305
1.0438932718294949,334325
2.503421465005431,334421
4.639905436394574,334259
-5.288308226595046,334399
6.111098037327709,334315
4.5363368401739415,334215
-5.797843697927019,334254
-2.854173225370273,334505
-5.015262941286041,334395
5.184375028380364,334243
3.405016688069935,334186
3.834858521266956,334492
-5.914760448020735,334190
-2.7354693163044965,334145
1.9297340770164269,334364
-4.407691900945321,334379
-1.6526254817325077,334278
-3.755483175312775,334410
1.0630856652556595,334498
-1.071052953799798,334143
-0.8853271023125471,334369
-0.2027142077278725,334178
2.495095496193569,334419
-1.3613658154046258,334430
5.2883532534484345,334273
1.811971547615837,334379
2.204430436901214,334127
2.138699695324142,334471
3.82576630165671,334313
7.106297306795216,334287
5.174913841958727,334387
5.9059750351505205,333370
4.572824352764215,334355
6.300145874230388,334457
5.580522240102578,334228
1.233754180449978,334456
3.174316784461464,334421
2.395934980684149,334520
3.4009089800330514,334507
6.836081805693505,334195
3.365561763045969,334123
7.038485975890774,334402
-0.7249891240361057,334229
4.129462719974075,334414
5.007850060714457,334461
5.374286853077415,334247
0.9536106254501036,333956
1.033623020828184,334425
3.313566358545142,334320
4.636607590203539,334465
7.008511183134374,334456
7.337540468179965,334362
3.150605311064409,334149
5.967495726938388,334439
-6.793559431297242,334492
-2.0256690401421977,334161
0.6006499333748572,334289
-1.813242097897468,334087
-1.080455246510791,334226
-0.9756220275127312,334487
1.6881503376750615,334439
4.715652427975208,334163
5.268382260549576,334003
1.4719425789188063,334455
-2.334285778777624,334235
0.2140478737907081,334284
-1.3447609190228276,334339
2.219259296665289,333342
-5.133999997522508,334432
-4.486672727762086,334465
-0.4644225920219167,334341
-1.109218716229691,334492
-2.379037819153985,334434
3.006874035386879,334343
-0.0334536748595315,334342
3.5031619391154063,334331
4.233858462361809,334424
3.2691304627243056,334434
7.172713242797993,334502
2.8510524079901867,334419
3.830483283081275,334465
2.878067548059949,334064
3.435812063290898,334149
-4.193063076074727,334056
-1.1323754247432056,334146
1.416981332367769,334442
-2.1038525655567915,334392
-3.0571601253121976,334194
-5.225750911122726,333760
-3.5139052144940592,334415
-1.818586383135348,334430
4.291777847233586,334140
3.7983231729407567,334163
1.173888311126138,334155
